"","team","season","tot_injured_value_lost"
"169","CAR",2023,18.03832
"170","DAL",2021,18.0214634444444
"171","CLE",2016,17.9235665982143
"172","GB",2013,17.908348
"173","HOU",2022,17.5779561911765
"174","TEN",2023,17.5756910147059
"175","TB",2023,17.4470793684211
"176","SEA",2013,17.397965
"177","DET",2021,17.3933228955882
"178","NE",2024,17.1669848686754
"179","KC",2016,16.9986572941176
"180","KC",2019,16.9956622255639
"181","CHI",2019,16.9361425625
"182","WAS",2009,16.92392
"183","WAS",2010,16.92392
"184","SF",2016,16.9176561160714
"185","DEN",2020,16.8638942538866
"186","ATL",2022,16.8294897714286
"187","NYG",2016,16.8084294705882
"188","KC",2024,16.77996665
"189","LAC",2020,16.6671857743881
"190","GB",2023,16.6066416408669
"191","SEA",2021,16.4165759215686
"192","PIT",2022,16.4001398823529
"193","LAC",2012,16.337559
"194","BUF",2024,16.2574796
"195","TB",2010,16.156388
"196","SF",2010,16.15405
"197","MIA",2022,16.0082732222222
"198","BUF",2020,15.8418152061403
"199","NE",2011,15.808288
"200","IND",2021,15.7298080073529
"201","CHI",2023,15.7222753382353
"202","DET",2012,15.7005
"203","LAC",2022,15.3821130793651
"204","SF",2023,15.31809955
"205","NO",2018,15.2588401666667
"206","LAC",2010,15.254705
"207","DET",2024,15.253926047619
"208","DET",2023,15.241926832563
"209","JAX",2020,15.2356831590909
"210","SEA",2019,15.2337513222222
"211","HOU",2017,15.1866204464286
"212","KC",2015,14.797891
"213","PIT",2015,14.724275
"214","NO",2013,14.715374
"215","CHI",2015,14.712369
"216","GB",2022,14.6972756301248
"217","LV",2019,14.6637870541667
"218","PIT",2024,14.5590606666667
"219","WAS",2017,14.4521524017857
"220","CHI",2009,14.449236
"221","CHI",2013,14.449236
"222","TEN",2018,14.4484692083333
"223","LA",2023,14.4270308888889
"224","DEN",2023,14.0861906470588
"225","DEN",2024,13.9781643247863
"226","GB",2024,13.9675462948718
"227","CIN",2012,13.88883
"228","NYG",2024,13.8143584117647
"229","ARI",2007,13.713145
"230","GB",2021,13.691784703268
"231","DEN",2002,13.597438
"232","JAX",2017,13.4913019040248
"233","DET",2022,13.4409338941176
"234","NE",2019,13.3390895189076
"235","TB",2020,13.1618449424585
"236","DET",2015,13.158985
